totbill,tip,sex,smoker,day,time,size
16.99,1.01,F,No,Sun,Night,2
10.34,1.66,M,No,Sun,Night,3
21.01,3.5,M,No,Sun,Night,3
23.68,3.31,M,No,Sun,Night,2
24.59,3.61,F,No,Sun,Night,4
25.29,4.71,M,No,Sun,Night,4
8.77,2,M,No,Sun,Night,2
26.88,3.12,M,No,Sun,Night,4
15.04,1.96,M,No,Sun,Night,2
14.78,3.23,M,No,Sun,Night,2
10.27,1.71,M,No,Sun,Night,2
35.26,5,F,No,Sun,Night,4
15.42,1.57,M,No,Sun,Night,2
18.43,3,M,No,Sun,Night,4
14.83,3.02,F,No,Sun,Night,2
21.58,3.92,M,No,Sun,Night,2
10.33,1.67,F,No,Sun,Night,3
16.29,3.71,M,No,Sun,Night,3
16.97,3.5,F,No,Sun,Night,3
20.65,3.35,M,No,Sat,Night,3
17.92,4.08,M,No,Sat,Night,2
20.29,2.75,F,No,Sat,Night,2
15.77,2.23,F,No,Sat,Night,2
39.42,7.58,M,No,Sat,Night,4
19.82,3.18,M,No,Sat,Night,2
17.81,2.34,M,No,Sat,Night,4
13.37,2,M,No,Sat,Night,2
12.69,2,M,No,Sat,Night,2
21.7,4.3,M,No,Sat,Night,2
19.65,3,F,No,Sat,Night,2
9.55,1.45,M,No,Sat,Night,2
18.35,2.5,M,No,Sat,Night,4
15.06,3,F,No,Sat,Night,2
20.69,2.45,F,No,Sat,Night,4
17.78,3.27,M,No,Sat,Night,2
24.06,3.6,M,No,Sat,Night,3
16.31,2,M,No,Sat,Night,3
16.93,3.07,F,No,Sat,Night,3
18.69,2.31,M,No,Sat,Night,3
31.27,5,M,No,Sat,Night,3
16.04,2.24,M,No,Sat,Night,3
17.46,2.54,M,No,Sun,Night,2
13.94,3.06,M,No,Sun,Night,2
9.68,1.32,M,No,Sun,Night,2
30.4,5.6,M,No,Sun,Night,4
18.29,3,M,No,Sun,Night,2
22.23,5,M,No,Sun,Night,2
32.4,6,M,No,Sun,Night,4
28.55,2.05,M,No,Sun,Night,3
18.04,3,M,No,Sun,Night,2
12.54,2.5,M,No,Sun,Night,2
10.29,2.6,F,No,Sun,Night,2
34.81,5.2,F,No,Sun,Night,4
9.94,1.56,M,No,Sun,Night,2
25.56,4.34,M,No,Sun,Night,4
19.49,3.51,M,No,Sun,Night,2
38.01,3,M,Yes,Sat,Night,4
