Manufacturer,Model,Type,Price,MPG.city,AirBags,Horsepower,Passengers,Rear.seat.room,Luggage.room
Acura,Integra,Small,15.9,25,Driver only,140,5,26.5,11
Acura,Legend,Midsize,33.9,18,Driver & Passenger,200,5,30,15
Audi,90,Compact,29.1,20,Driver only,172,5,28,14
Audi,100,Midsize,37.7,19,Driver & Passenger,172,6,31,17
BMW,535i,Midsize,30,22,Driver only,208,4,27,13
Buick,Century,Midsize,15.7,22,Driver only,110,6,28,16
Buick,LeSabre,Large,20.8,19,Driver only,170,6,30.5,17
Buick,Roadmaster,Large,23.7,16,Driver only,180,6,30.5,21
Buick,Riviera,Midsize,26.3,19,Driver only,170,5,26.5,14
Cadillac,DeVille,Large,34.7,16,Driver only,200,6,35,18
Cadillac,Seville,Midsize,40.1,16,Driver & Passenger,295,5,31,14
Chevrolet,Cavalier,Compact,13.4,25,Driver only,110,5,25,13
Chevrolet,Corsica,Compact,11.4,25,Driver only,110,5,26,14
Chevrolet,Camaro,Sporty,15.1,19,Driver & Passenger,160,4,25,13
Chevrolet,Lumina,Midsize,15.9,21,Driver only,110,6,28.5,16
Chevrolet,Lumina_APV,Van,16.3,18,Driver only,170,7,30.5,
Chevrolet,Astro,Van,16.6,15,,165,8,33.5,
Chevrolet,Caprice,Large,18.8,17,Driver only,170,6,29.5,20
Chevrolet,Corvette,Sporty,38,17,Driver only,300,2,,
Chrylser,Concorde,Large,18.4,20,Driver & Passenger,153,6,31,15
Chrysler,LeBaron,Compact,15.8,23,Driver & Passenger,141,6,30.5,14
Chrysler,Imperial,Large,29.5,20,Driver only,147,6,36,17
Dodge,Colt,Small,9.2,29,Driver only,92,5,26.5,11
Dodge,Shadow,Small,11.3,23,Driver only,93,5,26.5,13
Dodge,Spirit,Compact,13.3,22,Driver only,100,6,30.5,14
Dodge,Caravan,Van,19,17,Driver only,142,7,26.5,
Dodge,Dynasty,Midsize,15.6,21,Driver only,100,6,30.5,16
Dodge,Stealth,Sporty,25.8,18,Driver only,300,4,20,11
Eagle,Summit,Small,12.2,29,Driver only,92,5,26.5,11
Eagle,Vision,Large,19.3,20,Driver & Passenger,214,6,30,15
Ford,Festiva,Small,7.4,31,Driver only,63,4,26,12
Ford,Escort,Small,10.1,23,Driver only,127,5,28,12
Ford,Tempo,Compact,11.3,22,,96,5,27.5,13
Ford,Mustang,Sporty,15.9,22,Driver only,105,4,24,12
Ford,Probe,Sporty,14,24,Driver only,115,4,23,18
Ford,Aerostar,Van,19.9,15,Driver only,145,7,30,
Ford,Taurus,Midsize,20.2,21,Driver only,140,5,27.5,18
Ford,Crown_Victoria,Large,20.9,18,Driver only,190,6,30,21
Geo,Metro,Small,8.4,46,Driver only,55,4,27.5,10
Geo,Storm,Sporty,12.5,30,Driver only,90,4,24.5,11
Honda,Prelude,Sporty,19.8,24,Driver & Passenger,160,4,23.5,8
Honda,Civic,Small,12.1,42,Driver only,102,4,28,12
Honda,Accord,Compact,17.5,24,Driver & Passenger,140,4,28,14
Hyundai,Excel,Small,8,29,Driver only,81,5,26,11
Hyundai,Elantra,Small,10,22,Driver only,124,5,28,12
Hyundai,Scoupe,Sporty,10,26,Driver only,92,4,23.5,9
Hyundai,Sonata,Midsize,13.9,20,,128,5,31,14
Infiniti,Q45,Midsize,47.9,17,Driver only,278,5,29,15
Lexus,ES300,Midsize,28,18,Driver only,185,5,27.5,14
